Year,totalFlights
1970,57158400
1971,57449900
1972,48238800
1973,59054800
1974,65176300
1975,65787800
1976,68354600
1977,70334200
1978,72247600
1979,76047000
1980,76887100
1981,74363000
1982,75347600
1983,78752400
1984,83449200
1985,86428700
1986,91271000
1987,95258400
1988,99679200
1989,100696800
1990,104495600
1991,103071800
1992,110954100
1993,122802700
1994,131164000
1995,136349800
1996,143247600
1997,148279400
1998,149219900
1999,156911900
2000,164779441
2001,168877376
2002,158265243
2003,160930779
2004,179603986
2005,184384804
2006,190985699
2007,201683141
2008,199178945
2009,204399088
2010,236182713.9
2011,245736196.5
2012,249955832.8
2013,257859133.8
2014,267324300.5
2015,276893482.7
2016,287885038
